track,level,levelCodes,moduleType,keyword
Executive,E1 Senior Director,E1,softskills,Organizational Design Leadership
Executive,E1 Senior Director,E1,softskills,Strategic Partnerships
Executive,E2 Senior Executive,E2,ai,AI Enterprise Visioning
Executive,E2 Senior Executive,E2,ai,AI Investment & Innovation Strategy
Executive,E2 Senior Executive,E2,ai,AI-Driven Business Reinvention
Executive,E2 Senior Executive,E2,core,Enterprise Vision & Corporate Strategy
Executive,E2 Senior Executive,E2,core,Global Operating Model Leadership
Executive,E2 Senior Executive,E2,core,M&A & Investment Governance
Executive,E2 Senior Executive,E2,softskills,Enterprise Culture Shaping
Executive,E2 Senior Executive,E2,softskills,Ethical Governance
Executive,E2 Senior Executive,E2,softskills,Executive Diplomacy
Executive,E2 Senior Executive,E2,softskills,Global Strategic Influence
Executive,E2 Senior Executive,E2,softskills,Investor & Regulator Communication
Executive,E2 Senior Executive,E2,softskills,Visionary Leadership
